player,start_rank,start_points,difference,finish_rank,finish_points
John Higgins,2,"58,820",-3,5,"61,320"
Mark Williams,1,"60,360",-2,3,"63,560"
Neil Robertson,5,"48,100",-2,7,"59,540"
Mark Selby,3,"55,965",2,1,"74,925"
Ding Junhui,4,"55,960",-7,11,"52,340"
Stephen Maguire,8,"45,300",4,4,"61,400"
Shaun Murphy,7,"46,965",1,6,"59,685"
Ali Carter,6,"47,040",-11,17,"46,220"
Graeme Dott,10,"40,930",-3,13,"49,445"
Ronnie O'Sullivan,11,"40,660",2,9,"53,060"
Mark Allen,12,"37,305",0,12,"50,065"
Peter Ebdon,13,"36,480",-7,20,"40,645"
Stephen Hendry,16,"35,420",-5,21,"40,035"
Jamie Cope,15,"35,580",-12,27,"37,080"
Ricky Walden,20,"33,450",5,15,"46,945"
Marco Fu,23,"31,120",-5,28,"36,825"
Stuart Bingham,17,"35,275",1,16,"46,600"
Matthew Stevens,14,"36,395",4,10,"52,760"
Mark King,26,"29,210",-5,31,"33,550"
Ryan Day,28,"28,185",-2,30,"34,930"
Stephen Lee,18,"34,420",10,8,"56,550"
Mark Davis,19,"33,630",0,19,"41,490"
Andrew Higginson,25,"29,420",7,18,"43,170"
Judd Trump,9,"41,715",7,2,"68,975"
Barry Hawkins,22,"31,125",0,22,"39,940"
Martin Gould,21,"32,950",7,14,"47,290"
Liang Wenbo,30,"27,950",-7,37,"29,990"
Gerard Greene,32,"26,430",-10,42,"28,210"
Ken Doherty,29,"28,060",-6,35,"32,145"
Joe Perry,27,"28,750",3,24,"38,670"
Dominic Dale,31,"27,715",8,23,"39,855"
Marcus Campbell,24,"30,215",-1,25,"38,395"
Tom Ford,34,"25,105",8,26,"37,080"
Nigel Bond,40,"21,675",-5,45,"26,875"
Rory McLeod,35,"25,005",-3,38,"29,965"
Robert Milkins,33,"25,660",-3,36,"31,245"
Jamie Burnett,39,"21,770",0,39,"29,110"
Mike Dunn,38,"22,570",-11,49,"25,450"
Fergal O'Brien,37,"23,145",3,34,"32,275"
Steve Davis,44,"21,085",-7,51,"25,225"
Anthony Hamilton,36,"23,900",4,32,"32,970"
Tony Drago,46,"20,940",-19,65,"20,475"
Michael Holt,45,"20,950",12,33,"32,480"
Peter Lines,50,"19,815",-3,53,"24,510"
Dave Harold,48,"20,285",0,48,"25,955"
Matthew Selt,43,"21,195",-1,44,"27,770"
Mark Joyce,42,"21,285",-17,59,"22,810"
Alan McManus,51,"19,780",-1,52,"24,695"
Joe Swail,54,"18,405",-15,69,"19,660"
Barry Pinches,41,"21,520",-23,64,"20,495"
Andy Hicks,61,"17,095",0,61,"21,815"
Jamie Jones,47,"20,315",18,29,"34,945"
Adrian Gunnell,56,"18,390",-14,70,"19,600"
Rod Lawler,58,"17,680",-17,75,"18,435"
Anthony McGill,59,"17,670",9,50,"25,420"
Jack Lisowski,52,"19,635",12,40,"28,870"
Jimmy White,55,"18,395",9,46,"26,455"
Ian McCulloch,63,"16,895",-9,72,"19,325"
Alfie Burden,57,"18,240",-3,60,"22,760"
Joe Jogia,49,"19,825",2,47,"26,405"
Jimmy Robertson,53,"18,770",-2,55,"24,275"
Xiao Guodong,64,"16,650",23,41,"28,455"
Liu Song,62,"17,030",-5,67,"20,390"
Lyu Chuang,60,"17,290",4,56,"24,110"
Bjorn Haneveer,65,"16,625",-26,91,"11,185"
Michael White,66,"16,150",12,54,"24,495"
James Wattana,67,"15,935",4,63,"20,610"
Liam Highfield,68,"15,645",2,66,"20,470"
Ben Woollaston,69,"15,575",26,43,"27,775"
Matthew Couch,70,"15,460",-18,88,"14,055"
Andrew Pagett,71,"15,300",-13,84,"15,770"
Paul Davison,72,"14,835",-14,86,"15,245"
David Gilbert,73,"14,495",16,57,"23,420"
David Morris,74,"13,525",1,73,"18,835"
Simon Bedford,75,"11,545",-14,89,"12,970"
Igor Figueiredo,76,"11,685",-22,98,"10,125"
Kurt Maflin,77,"11,685",3,74,"18,450"
Adam Wicheard,78,"11,685",-7,85,"15,715"
Dechawat Poomjaeng,0,"11,685",,87,"15,150"
Sam Craigie,0,"11,685",,76,"18,285"
Kacper Filipiak,0,"11,685",,97,"10,130"
Passakorn Suwannawat,0,"11,685",,77,"18,110"
Cao Yupeng,0,"11,685",,71,"19,430"
Sam Baird,0,"11,685",,79,"17,580"
Daniel Wells,0,"11,685",,91,"11,960"
Scott MacKenzie,0,"11,685",,90,"12,440"
Joe Meara,0,"11,685",,99,"9,450"
David Hogan,0,"11,685",,94,"11,160"
Aditya Mehta,0,"11,685",,83,"16,730"
David Grace,0,"11,685",,80,"17,565"
Robin Hull,0,"11,685",,95,"10,950"
Andrew Norman,0,"11,685",,78,"18,000"
Li Yan,0,"11,685",,68,"20,215"
Tian Pengfei,0,"11,685",,81,"17,280"
Adam Duffy,0,"11,685",,62,"20,865"
Stuart Carrington,0,"11,685",,92,"11,545"
Yu Delu,0,"11,685",,58,"23,015"
Lucky Vatnani,0,"11,685",,96,"10,830"
Luca Brecel,0,"11,685",,82,"17,110"
